site,month,total
askubuntu.com,2011-06-01,8144.0
askubuntu.com,2011-07-01,6268.0
askubuntu.com,2011-08-01,6970.0
askubuntu.com,2011-09-01,7034.0
askubuntu.com,2011-10-01,15462.0
askubuntu.com,2011-11-01,15324.0
askubuntu.com,2011-12-01,11556.0
askubuntu.com,2012-01-01,12958.0
askubuntu.com,2012-02-01,12526.0
askubuntu.com,2012-03-01,12674.0
askubuntu.com,2012-04-01,15986.0
askubuntu.com,2012-05-01,22558.0
askubuntu.com,2012-06-01,19640.0
askubuntu.com,2012-07-01,17832.0
askubuntu.com,2012-08-01,17772.0
askubuntu.com,2012-09-01,16340.0
askubuntu.com,2012-10-01,19006.0
askubuntu.com,2012-11-01,18236.0
askubuntu.com,2012-12-01,15248.0
askubuntu.com,2013-01-01,16696.0
askubuntu.com,2013-02-01,15680.0
askubuntu.com,2013-03-01,16082.0
askubuntu.com,2013-04-01,15700.0
askubuntu.com,2013-05-01,17546.0
askubuntu.com,2013-06-01,15552.0
askubuntu.com,2013-07-01,15636.0
askubuntu.com,2013-08-01,16160.0
askubuntu.com,2013-09-01,15446.0
askubuntu.com,2013-10-01,19802.0
askubuntu.com,2013-11-01,17280.0
askubuntu.com,2013-12-01,17568.0
askubuntu.com,2014-01-01,19050.0
askubuntu.com,2014-02-01,15658.0
askubuntu.com,2014-03-01,17166.0
askubuntu.com,2014-04-01,21064.0
askubuntu.com,2014-05-01,20400.0
askubuntu.com,2014-06-01,16880.0
askubuntu.com,2014-07-01,17078.0
askubuntu.com,2014-08-01,16890.0
askubuntu.com,2014-09-01,15210.0
askubuntu.com,2014-10-01,15364.0
askubuntu.com,2014-11-01,13528.0
askubuntu.com,2014-12-01,14742.0
askubuntu.com,2015-01-01,14786.0
askubuntu.com,2015-02-01,13574.0
askubuntu.com,2015-03-01,15594.0
askubuntu.com,2015-04-01,16830.0
askubuntu.com,2015-05-01,17604.0
askubuntu.com,2015-06-01,16240.0
askubuntu.com,2015-07-01,15814.0
askubuntu.com,2015-08-01,14544.0
askubuntu.com,2015-09-01,13954.0
askubuntu.com,2015-10-01,15378.0
askubuntu.com,2015-11-01,15184.0
askubuntu.com,2015-12-01,13794.0
askubuntu.com,2016-01-01,15636.0
askubuntu.com,2016-02-01,13524.0
askubuntu.com,2016-03-01,14418.0
askubuntu.com,2016-04-01,16924.0
askubuntu.com,2016-05-01,20126.0
askubuntu.com,2016-06-01,17056.0
askubuntu.com,2016-07-01,16278.0
askubuntu.com,2016-08-01,18052.0
askubuntu.com,2016-09-01,18824.0
askubuntu.com,2016-10-01,18314.0
askubuntu.com,2016-11-01,17388.0
askubuntu.com,2016-12-01,16422.0
askubuntu.com,2017-01-01,17584.0
askubuntu.com,2017-02-01,14772.0
askubuntu.com,2017-03-01,16156.0
askubuntu.com,2017-04-01,15664.0
askubuntu.com,2017-05-01,14904.0
askubuntu.com,2017-06-01,14448.0
askubuntu.com,2017-07-01,13792.0
askubuntu.com,2017-08-01,12876.0
codegolf.stackexchange.com,2008-07-01,0.0
codegolf.stackexchange.com,2008-08-01,0.0
codegolf.stackexchange.com,2008-09-01,0.0
codegolf.stackexchange.com,2008-10-01,0.0
codegolf.stackexchange.com,2008-11-01,0.0
codegolf.stackexchange.com,2008-12-01,88.0
codegolf.stackexchange.com,2009-01-01,6.0
codegolf.stackexchange.com,2009-02-01,0.0
codegolf.stackexchange.com,2009-03-01,0.0
codegolf.stackexchange.com,2009-04-01,0.0
codegolf.stackexchange.com,2009-05-01,4.0
codegolf.stackexchange.com,2009-06-01,0.0
codegolf.stackexchange.com,2009-07-01,8.0
codegolf.stackexchange.com,2009-08-01,2.0
codegolf.stackexchange.com,2009-09-01,0.0
codegolf.stackexchange.com,2009-10-01,0.0
codegolf.stackexchange.com,2009-11-01,8.0
codegolf.stackexchange.com,2009-12-01,2.0
codegolf.stackexchange.com,2010-01-01,0.0
codegolf.stackexchange.com,2010-02-01,0.0
codegolf.stackexchange.com,2010-03-01,0.0
codegolf.stackexchange.com,2010-04-01,0.0
codegolf.stackexchange.com,2010-05-01,0.0
codegolf.stackexchange.com,2010-06-01,2.0
codegolf.stackexchange.com,2010-07-01,0.0
codegolf.stackexchange.com,2010-08-01,0.0
codegolf.stackexchange.com,2010-09-01,0.0
codegolf.stackexchange.com,2010-10-01,0.0
codegolf.stackexchange.com,2010-11-01,0.0
codegolf.stackexchange.com,2010-12-01,0.0
codegolf.stackexchange.com,2011-01-01,542.0
codegolf.stackexchange.com,2011-02-01,1656.0
codegolf.stackexchange.com,2011-03-01,1114.0
codegolf.stackexchange.com,2011-04-01,904.0
codegolf.stackexchange.com,2011-05-01,550.0
codegolf.stackexchange.com,2011-06-01,562.0
codegolf.stackexchange.com,2011-07-01,448.0
codegolf.stackexchange.com,2011-08-01,568.0
codegolf.stackexchange.com,2011-09-01,252.0
codegolf.stackexchange.com,2011-10-01,190.0
codegolf.stackexchange.com,2011-11-01,316.0
codegolf.stackexchange.com,2011-12-01,724.0
codegolf.stackexchange.com,2012-01-01,592.0
codegolf.stackexchange.com,2012-02-01,352.0
codegolf.stackexchange.com,2012-03-01,654.0
codegolf.stackexchange.com,2012-04-01,586.0
codegolf.stackexchange.com,2012-05-01,762.0
codegolf.stackexchange.com,2012-06-01,718.0
codegolf.stackexchange.com,2012-07-01,578.0
codegolf.stackexchange.com,2012-08-01,516.0
codegolf.stackexchange.com,2012-09-01,732.0
codegolf.stackexchange.com,2012-10-01,548.0
codegolf.stackexchange.com,2012-11-01,440.0
codegolf.stackexchange.com,2012-12-01,402.0
codegolf.stackexchange.com,2013-01-01,446.0
codegolf.stackexchange.com,2013-02-01,348.0
codegolf.stackexchange.com,2013-03-01,450.0
codegolf.stackexchange.com,2013-04-01,882.0
codegolf.stackexchange.com,2013-05-01,456.0
codegolf.stackexchange.com,2013-06-01,300.0
codegolf.stackexchange.com,2013-07-01,336.0
codegolf.stackexchange.com,2013-08-01,480.0
codegolf.stackexchange.com,2013-09-01,428.0
codegolf.stackexchange.com,2013-10-01,624.0
codegolf.stackexchange.com,2013-11-01,854.0
codegolf.stackexchange.com,2013-12-01,2392.0
codegolf.stackexchange.com,2014-01-01,4754.0
codegolf.stackexchange.com,2014-02-01,4636.0
codegolf.stackexchange.com,2014-03-01,4654.0
codegolf.stackexchange.com,2014-04-01,2208.0
codegolf.stackexchange.com,2014-05-01,2384.0
codegolf.stackexchange.com,2014-06-01,2954.0
codegolf.stackexchange.com,2014-07-01,2988.0
codegolf.stackexchange.com,2014-08-01,2864.0
codegolf.stackexchange.com,2014-09-01,2214.0
codegolf.stackexchange.com,2014-10-01,2414.0
codegolf.stackexchange.com,2014-11-01,2248.0
codegolf.stackexchange.com,2014-12-01,1698.0
codegolf.stackexchange.com,2015-01-01,2024.0
codegolf.stackexchange.com,2015-02-01,1718.0
codegolf.stackexchange.com,2015-03-01,2016.0
codegolf.stackexchange.com,2015-04-01,2112.0
codegolf.stackexchange.com,2015-05-01,2860.0
codegolf.stackexchange.com,2015-06-01,2454.0
codegolf.stackexchange.com,2015-07-01,3036.0
codegolf.stackexchange.com,2015-08-01,2934.0
codegolf.stackexchange.com,2015-09-01,4402.0
codegolf.stackexchange.com,2015-10-01,5732.0
codegolf.stackexchange.com,2015-11-01,5270.0
codegolf.stackexchange.com,2015-12-01,5254.0
codegolf.stackexchange.com,2016-01-01,4260.0
codegolf.stackexchange.com,2016-02-01,5072.0
codegolf.stackexchange.com,2016-03-01,3960.0
codegolf.stackexchange.com,2016-04-01,3898.0
codegolf.stackexchange.com,2016-05-01,3696.0
codegolf.stackexchange.com,2016-06-01,3842.0
codegolf.stackexchange.com,2016-07-01,5476.0
codegolf.stackexchange.com,2016-08-01,6854.0
codegolf.stackexchange.com,2016-09-01,5816.0
codegolf.stackexchange.com,2016-10-01,5636.0
codegolf.stackexchange.com,2016-11-01,6380.0
codegolf.stackexchange.com,2016-12-01,6474.0
codegolf.stackexchange.com,2017-01-01,6430.0
codegolf.stackexchange.com,2017-02-01,5192.0
codegolf.stackexchange.com,2017-03-01,5400.0
codegolf.stackexchange.com,2017-04-01,5956.0
codegolf.stackexchange.com,2017-05-01,10312.0
codegolf.stackexchange.com,2017-06-01,9814.0
codegolf.stackexchange.com,2017-07-01,10350.0
codegolf.stackexchange.com,2017-08-01,6752.0
cooking.stackexchange.com,2008-07-01,0.0
cooking.stackexchange.com,2008-08-01,0.0
cooking.stackexchange.com,2008-09-01,0.0
cooking.stackexchange.com,2008-10-01,0.0
cooking.stackexchange.com,2008-11-01,0.0
cooking.stackexchange.com,2008-12-01,0.0
cooking.stackexchange.com,2009-01-01,0.0
cooking.stackexchange.com,2009-02-01,0.0
cooking.stackexchange.com,2009-03-01,0.0
cooking.stackexchange.com,2009-04-01,0.0
cooking.stackexchange.com,2009-05-01,0.0
cooking.stackexchange.com,2009-06-01,0.0
cooking.stackexchange.com,2009-07-01,0.0
cooking.stackexchange.com,2009-08-01,0.0
cooking.stackexchange.com,2009-09-01,0.0
cooking.stackexchange.com,2009-10-01,0.0
cooking.stackexchange.com,2009-11-01,0.0
cooking.stackexchange.com,2009-12-01,0.0
cooking.stackexchange.com,2010-01-01,0.0
cooking.stackexchange.com,2010-02-01,0.0
cooking.stackexchange.com,2010-03-01,0.0
cooking.stackexchange.com,2010-04-01,0.0
cooking.stackexchange.com,2010-05-01,0.0
cooking.stackexchange.com,2010-06-01,0.0
cooking.stackexchange.com,2010-07-01,6552.0
cooking.stackexchange.com,2010-08-01,4510.0
cooking.stackexchange.com,2010-09-01,2294.0
cooking.stackexchange.com,2010-10-01,1668.0
cooking.stackexchange.com,2010-11-01,1660.0
cooking.stackexchange.com,2010-12-01,1710.0
cooking.stackexchange.com,2011-01-01,1844.0
cooking.stackexchange.com,2011-02-01,1756.0
cooking.stackexchange.com,2011-03-01,1670.0
cooking.stackexchange.com,2011-04-01,1436.0
cooking.stackexchange.com,2011-05-01,1334.0
cooking.stackexchange.com,2011-06-01,1240.0
cooking.stackexchange.com,2011-07-01,1268.0
cooking.stackexchange.com,2011-08-01,1512.0
cooking.stackexchange.com,2011-09-01,1380.0
cooking.stackexchange.com,2011-10-01,1052.0
cooking.stackexchange.com,2011-11-01,1022.0
cooking.stackexchange.com,2011-12-01,1534.0
cooking.stackexchange.com,2012-01-01,1566.0
cooking.stackexchange.com,2012-02-01,1656.0
cooking.stackexchange.com,2012-03-01,1466.0
cooking.stackexchange.com,2012-04-01,1456.0
cooking.stackexchange.com,2012-05-01,1178.0
cooking.stackexchange.com,2012-06-01,1098.0
cooking.stackexchange.com,2012-07-01,1062.0
cooking.stackexchange.com,2012-08-01,924.0
cooking.stackexchange.com,2012-09-01,936.0
cooking.stackexchange.com,2012-10-01,1124.0
cooking.stackexchange.com,2012-11-01,1082.0
cooking.stackexchange.com,2012-12-01,1388.0
cooking.stackexchange.com,2013-01-01,1622.0
cooking.stackexchange.com,2013-02-01,1158.0
cooking.stackexchange.com,2013-03-01,1432.0
cooking.stackexchange.com,2013-04-01,1066.0
cooking.stackexchange.com,2013-05-01,904.0
cooking.stackexchange.com,2013-06-01,946.0
cooking.stackexchange.com,2013-07-01,1096.0
cooking.stackexchange.com,2013-08-01,1210.0
cooking.stackexchange.com,2013-09-01,1350.0
cooking.stackexchange.com,2013-10-01,1328.0
cooking.stackexchange.com,2013-11-01,1346.0
cooking.stackexchange.com,2013-12-01,1384.0
cooking.stackexchange.com,2014-01-01,1488.0
cooking.stackexchange.com,2014-02-01,1274.0
cooking.stackexchange.com,2014-03-01,1268.0
cooking.stackexchange.com,2014-04-01,948.0
cooking.stackexchange.com,2014-05-01,1226.0
cooking.stackexchange.com,2014-06-01,1114.0
cooking.stackexchange.com,2014-07-01,1362.0
cooking.stackexchange.com,2014-08-01,1250.0
cooking.stackexchange.com,2014-09-01,1366.0
cooking.stackexchange.com,2014-10-01,1378.0
cooking.stackexchange.com,2014-11-01,1272.0
cooking.stackexchange.com,2014-12-01,1534.0
cooking.stackexchange.com,2015-01-01,1810.0
cooking.stackexchange.com,2015-02-01,1624.0
cooking.stackexchange.com,2015-03-01,1638.0
cooking.stackexchange.com,2015-04-01,1402.0
cooking.stackexchange.com,2015-05-01,1274.0
cooking.stackexchange.com,2015-06-01,1192.0
cooking.stackexchange.com,2015-07-01,1266.0
cooking.stackexchange.com,2015-08-01,1388.0
cooking.stackexchange.com,2015-09-01,1194.0
cooking.stackexchange.com,2015-10-01,1284.0
cooking.stackexchange.com,2015-11-01,1494.0
cooking.stackexchange.com,2015-12-01,1608.0
cooking.stackexchange.com,2016-01-01,1778.0
cooking.stackexchange.com,2016-02-01,1460.0
cooking.stackexchange.com,2016-03-01,1572.0
cooking.stackexchange.com,2016-04-01,1272.0
cooking.stackexchange.com,2016-05-01,1106.0
cooking.stackexchange.com,2016-06-01,1064.0
cooking.stackexchange.com,2016-07-01,1178.0
cooking.stackexchange.com,2016-08-01,1356.0
cooking.stackexchange.com,2016-09-01,1346.0
cooking.stackexchange.com,2016-10-01,1248.0
cooking.stackexchange.com,2016-11-01,1498.0
cooking.stackexchange.com,2016-12-01,1614.0
cooking.stackexchange.com,2017-01-01,1658.0
cooking.stackexchange.com,2017-02-01,1410.0
cooking.stackexchange.com,2017-03-01,1318.0
cooking.stackexchange.com,2017-04-01,1266.0
cooking.stackexchange.com,2017-05-01,1392.0
cooking.stackexchange.com,2017-06-01,1046.0
cooking.stackexchange.com,2017-07-01,1136.0
cooking.stackexchange.com,2017-08-01,896.0
dba.stackexchange.com,2008-07-01,0.0
dba.stackexchange.com,2008-08-01,0.0
dba.stackexchange.com,2008-09-01,24.0
dba.stackexchange.com,2008-10-01,28.0
dba.stackexchange.com,2008-11-01,34.0
dba.stackexchange.com,2008-12-01,2.0
dba.stackexchange.com,2009-01-01,16.0
dba.stackexchange.com,2009-02-01,4.0
dba.stackexchange.com,2009-03-01,8.0
dba.stackexchange.com,2009-04-01,6.0
dba.stackexchange.com,2009-05-01,30.0
dba.stackexchange.com,2009-06-01,12.0
dba.stackexchange.com,2009-07-01,4.0
dba.stackexchange.com,2009-08-01,4.0
dba.stackexchange.com,2009-09-01,18.0
dba.stackexchange.com,2009-10-01,32.0
dba.stackexchange.com,2009-11-01,10.0
dba.stackexchange.com,2009-12-01,10.0
dba.stackexchange.com,2010-01-01,2.0
dba.stackexchange.com,2010-02-01,18.0
dba.stackexchange.com,2010-03-01,24.0
dba.stackexchange.com,2010-04-01,50.0
dba.stackexchange.com,2010-05-01,16.0
dba.stackexchange.com,2010-06-01,10.0
dba.stackexchange.com,2010-07-01,20.0
dba.stackexchange.com,2010-08-01,20.0
dba.stackexchange.com,2010-09-01,30.0
dba.stackexchange.com,2010-10-01,30.0
dba.stackexchange.com,2010-11-01,28.0
dba.stackexchange.com,2010-12-01,50.0
dba.stackexchange.com,2011-01-01,1884.0
dba.stackexchange.com,2011-02-01,1020.0
dba.stackexchange.com,2011-03-01,1048.0
dba.stackexchange.com,2011-04-01,854.0
dba.stackexchange.com,2011-05-01,1232.0
dba.stackexchange.com,2011-06-01,1000.0
dba.stackexchange.com,2011-07-01,1190.0
dba.stackexchange.com,2011-08-01,2006.0
dba.stackexchange.com,2011-09-01,2086.0
dba.stackexchange.com,2011-10-01,1910.0
dba.stackexchange.com,2011-11-01,2120.0
dba.stackexchange.com,2011-12-01,2412.0
dba.stackexchange.com,2012-01-01,3120.0
dba.stackexchange.com,2012-02-01,3570.0
dba.stackexchange.com,2012-03-01,3162.0
dba.stackexchange.com,2012-04-01,2448.0
dba.stackexchange.com,2012-05-01,2432.0
dba.stackexchange.com,2012-06-01,2698.0
dba.stackexchange.com,2012-07-01,2776.0
dba.stackexchange.com,2012-08-01,3026.0
dba.stackexchange.com,2012-09-01,2922.0
dba.stackexchange.com,2012-10-01,3156.0
dba.stackexchange.com,2012-11-01,2912.0
dba.stackexchange.com,2012-12-01,2804.0
dba.stackexchange.com,2013-01-01,2926.0
dba.stackexchange.com,2013-02-01,3012.0
dba.stackexchange.com,2013-03-01,3742.0
dba.stackexchange.com,2013-04-01,3924.0
dba.stackexchange.com,2013-05-01,3822.0
dba.stackexchange.com,2013-06-01,3058.0
dba.stackexchange.com,2013-07-01,3088.0
dba.stackexchange.com,2013-08-01,2732.0
dba.stackexchange.com,2013-09-01,2766.0
dba.stackexchange.com,2013-10-01,2924.0
dba.stackexchange.com,2013-11-01,2508.0
dba.stackexchange.com,2013-12-01,2622.0
dba.stackexchange.com,2014-01-01,3486.0
dba.stackexchange.com,2014-02-01,3052.0
dba.stackexchange.com,2014-03-01,3516.0
dba.stackexchange.com,2014-04-01,3284.0
dba.stackexchange.com,2014-05-01,3200.0
dba.stackexchange.com,2014-06-01,3102.0
dba.stackexchange.com,2014-07-01,3972.0
dba.stackexchange.com,2014-08-01,4042.0
dba.stackexchange.com,2014-09-01,4230.0
dba.stackexchange.com,2014-10-01,3912.0
dba.stackexchange.com,2014-11-01,3494.0
dba.stackexchange.com,2014-12-01,3744.0
dba.stackexchange.com,2015-01-01,3604.0
dba.stackexchange.com,2015-02-01,3568.0
dba.stackexchange.com,2015-03-01,3878.0
dba.stackexchange.com,2015-04-01,3910.0
dba.stackexchange.com,2015-05-01,3988.0
dba.stackexchange.com,2015-06-01,4316.0
dba.stackexchange.com,2015-07-01,5116.0
dba.stackexchange.com,2015-08-01,5002.0
dba.stackexchange.com,2015-09-01,4626.0
dba.stackexchange.com,2015-10-01,4778.0
dba.stackexchange.com,2015-11-01,4248.0
dba.stackexchange.com,2015-12-01,3956.0
dba.stackexchange.com,2016-01-01,4530.0
dba.stackexchange.com,2016-02-01,4708.0
dba.stackexchange.com,2016-03-01,4940.0
dba.stackexchange.com,2016-04-01,4708.0
dba.stackexchange.com,2016-05-01,4748.0
dba.stackexchange.com,2016-06-01,4216.0
dba.stackexchange.com,2016-07-01,4340.0
dba.stackexchange.com,2016-08-01,4858.0
dba.stackexchange.com,2016-09-01,4542.0
dba.stackexchange.com,2016-10-01,4130.0
dba.stackexchange.com,2016-11-01,4778.0
dba.stackexchange.com,2016-12-01,4524.0
dba.stackexchange.com,2017-01-01,5048.0
dba.stackexchange.com,2017-02-01,4998.0
dba.stackexchange.com,2017-03-01,5036.0
dba.stackexchange.com,2017-04-01,4168.0
dba.stackexchange.com,2017-05-01,4586.0
dba.stackexchange.com,2017-06-01,4488.0
dba.stackexchange.com,2017-07-01,4372.0
dba.stackexchange.com,2017-08-01,3686.0
electronics.stackexchange.com,2008-07-01,0.0
electronics.stackexchange.com,2008-08-01,0.0
electronics.stackexchange.com,2008-09-01,0.0
electronics.stackexchange.com,2008-10-01,0.0
electronics.stackexchange.com,2008-11-01,0.0
electronics.stackexchange.com,2008-12-01,0.0
electronics.stackexchange.com,2009-01-01,0.0
electronics.stackexchange.com,2009-02-01,0.0
electronics.stackexchange.com,2009-03-01,0.0
electronics.stackexchange.com,2009-04-01,0.0
electronics.stackexchange.com,2009-05-01,0.0
electronics.stackexchange.com,2009-06-01,0.0
electronics.stackexchange.com,2009-07-01,0.0
electronics.stackexchange.com,2009-08-01,24.0
electronics.stackexchange.com,2009-09-01,0.0
